Timestamp,station,Actual_PM2.5,Predicted_PM2.5
2023-10-01 00:00:00,"Ashok Vihar, Delhi - DPCC",42.75,44.769127
2023-10-01 01:00:00,"Ashok Vihar, Delhi - DPCC",44.0,45.7276
2023-10-01 02:00:00,"Ashok Vihar, Delhi - DPCC",43.25,46.10289
2023-10-01 03:00:00,"Ashok Vihar, Delhi - DPCC",52.0,47.395454
2023-10-01 04:00:00,"Ashok Vihar, Delhi - DPCC",61.75,49.87103
2023-10-01 05:00:00,"Ashok Vihar, Delhi - DPCC",72.0,51.54528
2023-10-01 06:00:00,"Ashok Vihar, Delhi - DPCC",68.75,51.232952
2023-10-01 07:00:00,"Ashok Vihar, Delhi - DPCC",70.5,53.12723
2023-10-01 08:00:00,"Ashok Vihar, Delhi - DPCC",78.75,57.412327
2023-10-01 09:00:00,"Ashok Vihar, Delhi - DPCC",78.0,57.74364
2023-10-01 10:00:00,"Ashok Vihar, Delhi - DPCC",65.5,52.840088
2023-10-01 11:00:00,"Ashok Vihar, Delhi - DPCC",52.25,48.02099
2023-10-01 12:00:00,"Ashok Vihar, Delhi - DPCC",43.25,45.017147
2023-10-01 13:00:00,"Ashok Vihar, Delhi - DPCC",42.0,43.340332
2023-10-01 14:00:00,"Ashok Vihar, Delhi - DPCC",43.25,41.39762
2023-10-01 15:00:00,"Ashok Vihar, Delhi - DPCC",38.0,40.795597
2023-10-01 16:00:00,"Ashok Vihar, Delhi - DPCC",38.0,40.737366
2023-10-01 17:00:00,"Ashok Vihar, Delhi - DPCC",39.75,41.796337
2023-10-01 18:00:00,"Ashok Vihar, Delhi - DPCC",49.0,43.302597
2023-10-01 19:00:00,"Ashok Vihar, Delhi - DPCC",63.25,46.14104
2023-10-01 20:00:00,"Ashok Vihar, Delhi - DPCC",66.25,50.656025
2023-10-01 21:00:00,"Ashok Vihar, Delhi - DPCC",52.75,51.55513
2023-10-01 22:00:00,"Ashok Vihar, Delhi - DPCC",47.25,49.090088
2023-10-01 23:00:00,"Ashok Vihar, Delhi - DPCC",52.25,46.627617
2023-10-02 00:00:00,"Ashok Vihar, Delhi - DPCC",55.25,53.208725
2023-10-02 01:00:00,"Ashok Vihar, Delhi - DPCC",52.25,53.112587
2023-10-02 02:00:00,"Ashok Vihar, Delhi - DPCC",48.0,51.801727
2023-10-02 03:00:00,"Ashok Vihar, Delhi - DPCC",44.75,52.752182
2023-10-02 04:00:00,"Ashok Vihar, Delhi - DPCC",56.75,56.305344
2023-10-02 05:00:00,"Ashok Vihar, Delhi - DPCC",64.33333333333333,58.500984
2023-10-02 06:00:00,"Ashok Vihar, Delhi - DPCC",57.0,56.967903
2023-10-02 07:00:00,"Ashok Vihar, Delhi - DPCC",58.75,59.26371
2023-10-02 08:00:00,"Ashok Vihar, Delhi - DPCC",63.5,62.297585
2023-10-02 09:00:00,"Ashok Vihar, Delhi - DPCC",67.5,61.396217
2023-10-02 10:00:00,"Ashok Vihar, Delhi - DPCC",80.25,54.14953
2023-10-02 11:00:00,"Ashok Vihar, Delhi - DPCC",65.75,46.129257
2023-10-02 12:00:00,"Ashok Vihar, Delhi - DPCC",52.25,41.712936
2023-10-02 13:00:00,"Ashok Vihar, Delhi - DPCC",40.5,39.404854
2023-10-02 14:00:00,"Ashok Vihar, Delhi - DPCC",37.5,36.910522
2023-10-02 15:00:00,"Ashok Vihar, Delhi - DPCC",30.75,35.993477
2023-10-02 16:00:00,"Ashok Vihar, Delhi - DPCC",25.0,35.739487
2023-10-02 17:00:00,"Ashok Vihar, Delhi - DPCC",29.25,37.328773
2023-10-02 18:00:00,"Ashok Vihar, Delhi - DPCC",34.5,40.464745
2023-10-02 19:00:00,"Ashok Vihar, Delhi - DPCC",47.5,45.68734
2023-10-02 20:00:00,"Ashok Vihar, Delhi - DPCC",71.5,50.267784
2023-10-02 21:00:00,"Ashok Vihar, Delhi - DPCC",65.75,50.6687
2023-10-02 22:00:00,"Ashok Vihar, Delhi - DPCC",63.25,46.227226
2023-10-02 23:00:00,"Ashok Vihar, Delhi - DPCC",65.0,44.292603
2023-10-03 00:00:00,"Ashok Vihar, Delhi - DPCC",58.0,62.613457
2023-10-03 01:00:00,"Ashok Vihar, Delhi - DPCC",55.5,60.578846
2023-10-03 02:00:00,"Ashok Vihar, Delhi - DPCC",58.75,58.230305
2023-10-03 03:00:00,"Ashok Vihar, Delhi - DPCC",60.75,58.414413
2023-10-03 04:00:00,"Ashok Vihar, Delhi - DPCC",55.0,61.6949
2023-10-03 05:00:00,"Ashok Vihar, Delhi - DPCC",69.5,63.197994
2023-10-03 06:00:00,"Ashok Vihar, Delhi - DPCC",75.0,60.91467
2023-10-03 07:00:00,"Ashok Vihar, Delhi - DPCC",73.0,62.00251
2023-10-03 08:00:00,"Ashok Vihar, Delhi - DPCC",81.25,64.12276
2023-10-03 09:00:00,"Ashok Vihar, Delhi - DPCC",65.5,62.080467
2023-10-03 10:00:00,"Ashok Vihar, Delhi - DPCC",50.25,55.28256
2023-10-03 11:00:00,"Ashok Vihar, Delhi - DPCC",45.0,47.13655
2023-10-03 12:00:00,"Ashok Vihar, Delhi - DPCC",43.5,41.928425
2023-10-03 13:00:00,"Ashok Vihar, Delhi - DPCC",36.25,38.715755
2023-10-03 14:00:00,"Ashok Vihar, Delhi - DPCC",29.25,36.53923
2023-10-03 15:00:00,"Ashok Vihar, Delhi - DPCC",31.75,34.66093
2023-10-03 16:00:00,"Ashok Vihar, Delhi - DPCC",28.5,34.00266
2023-10-03 17:00:00,"Ashok Vihar, Delhi - DPCC",31.0,35.686275
2023-10-03 18:00:00,"Ashok Vihar, Delhi - DPCC",36.75,38.850067
2023-10-03 19:00:00,"Ashok Vihar, Delhi - DPCC",47.75,44.16149
2023-10-03 20:00:00,"Ashok Vihar, Delhi - DPCC",57.75,50.26224
2023-10-03 21:00:00,"Ashok Vihar, Delhi - DPCC",61.5,51.988304
2023-10-03 22:00:00,"Ashok Vihar, Delhi - DPCC",54.75,48.957565
2023-10-03 23:00:00,"Ashok Vihar, Delhi - DPCC",47.75,46.039124
2023-10-04 00:00:00,"Ashok Vihar, Delhi - DPCC",55.5,46.09822
2023-10-04 01:00:00,"Ashok Vihar, Delhi - DPCC",74.75,46.825478
2023-10-04 02:00:00,"Ashok Vihar, Delhi - DPCC",55.0,46.83344
2023-10-04 03:00:00,"Ashok Vihar, Delhi - DPCC",53.75,49.89114
2023-10-04 04:00:00,"Ashok Vihar, Delhi - DPCC",62.5,53.833324
2023-10-04 05:00:00,"Ashok Vihar, Delhi - DPCC",76.25,58.02986
2023-10-04 06:00:00,"Ashok Vihar, Delhi - DPCC",81.75,58.207348
2023-10-04 07:00:00,"Ashok Vihar, Delhi - DPCC",70.5,59.0848
2023-10-04 08:00:00,"Ashok Vihar, Delhi - DPCC",71.75,61.780464
2023-10-04 09:00:00,"Ashok Vihar, Delhi - DPCC",62.5,59.247017
2023-10-04 10:00:00,"Ashok Vihar, Delhi - DPCC",64.75,52.674385
2023-10-04 11:00:00,"Ashok Vihar, Delhi - DPCC",67.0,45.98085
2023-10-04 12:00:00,"Ashok Vihar, Delhi - DPCC",48.75,42.90235
2023-10-04 13:00:00,"Ashok Vihar, Delhi - DPCC",35.5,39.035133
2023-10-04 14:00:00,"Ashok Vihar, Delhi - DPCC",34.5,36.738148
2023-10-04 15:00:00,"Ashok Vihar, Delhi - DPCC",37.25,34.953163
2023-10-04 16:00:00,"Ashok Vihar, Delhi - DPCC",41.0,34.574253
2023-10-04 17:00:00,"Ashok Vihar, Delhi - DPCC",41.0,36.10499
2023-10-04 18:00:00,"Ashok Vihar, Delhi - DPCC",41.0,39.843895
2023-10-04 19:00:00,"Ashok Vihar, Delhi - DPCC",46.0,46.810585
2023-10-04 20:00:00,"Ashok Vihar, Delhi - DPCC",48.0,54.57274
2023-10-04 21:00:00,"Ashok Vihar, Delhi - DPCC",60.25,56.0023
2023-10-04 22:00:00,"Ashok Vihar, Delhi - DPCC",67.0,52.44925
2023-10-04 23:00:00,"Ashok Vihar, Delhi - DPCC",68.0,49.35608
2023-10-05 00:00:00,"Ashok Vihar, Delhi - DPCC",69.0,65.164185
2023-10-05 01:00:00,"Ashok Vihar, Delhi - DPCC",79.0,63.930977
