Timestamp,station,Actual_PM2.5,Predicted_PM2.5
2023-10-01 00:00:00,"Ashok Vihar, Delhi - DPCC",42.75,53.07689
2023-10-01 01:00:00,"Ashok Vihar, Delhi - DPCC",44.0,51.897385
2023-10-01 02:00:00,"Ashok Vihar, Delhi - DPCC",43.25,51.06214
2023-10-01 03:00:00,"Ashok Vihar, Delhi - DPCC",52.0,51.47581
2023-10-01 04:00:00,"Ashok Vihar, Delhi - DPCC",61.75,54.670353
2023-10-01 05:00:00,"Ashok Vihar, Delhi - DPCC",72.0,56.58687
2023-10-01 06:00:00,"Ashok Vihar, Delhi - DPCC",68.75,57.26611
2023-10-01 07:00:00,"Ashok Vihar, Delhi - DPCC",70.5,57.61983
2023-10-01 08:00:00,"Ashok Vihar, Delhi - DPCC",78.75,59.05713
2023-10-01 09:00:00,"Ashok Vihar, Delhi - DPCC",78.0,59.230988
2023-10-01 10:00:00,"Ashok Vihar, Delhi - DPCC",65.5,56.38984
2023-10-01 11:00:00,"Ashok Vihar, Delhi - DPCC",52.25,52.53865
2023-10-01 12:00:00,"Ashok Vihar, Delhi - DPCC",43.25,50.614357
2023-10-01 13:00:00,"Ashok Vihar, Delhi - DPCC",42.0,48.43402
2023-10-01 14:00:00,"Ashok Vihar, Delhi - DPCC",43.25,46.448364
2023-10-01 15:00:00,"Ashok Vihar, Delhi - DPCC",38.0,45.640274
2023-10-01 16:00:00,"Ashok Vihar, Delhi - DPCC",38.0,46.400238
2023-10-01 17:00:00,"Ashok Vihar, Delhi - DPCC",39.75,47.974503
2023-10-01 18:00:00,"Ashok Vihar, Delhi - DPCC",49.0,50.859768
2023-10-01 19:00:00,"Ashok Vihar, Delhi - DPCC",63.25,54.246048
2023-10-01 20:00:00,"Ashok Vihar, Delhi - DPCC",66.25,58.351234
2023-10-01 21:00:00,"Ashok Vihar, Delhi - DPCC",52.75,60.072716
2023-10-01 22:00:00,"Ashok Vihar, Delhi - DPCC",47.25,58.041233
2023-10-01 23:00:00,"Ashok Vihar, Delhi - DPCC",52.25,56.346657
2023-10-02 00:00:00,"Ashok Vihar, Delhi - DPCC",55.25,55.00486
2023-10-02 01:00:00,"Ashok Vihar, Delhi - DPCC",52.25,54.20227
2023-10-02 02:00:00,"Ashok Vihar, Delhi - DPCC",48.0,53.44124
2023-10-02 03:00:00,"Ashok Vihar, Delhi - DPCC",44.75,53.166298
2023-10-02 04:00:00,"Ashok Vihar, Delhi - DPCC",56.75,55.688187
2023-10-02 05:00:00,"Ashok Vihar, Delhi - DPCC",64.33333333333333,57.568756
2023-10-02 06:00:00,"Ashok Vihar, Delhi - DPCC",57.0,58.414898
2023-10-02 07:00:00,"Ashok Vihar, Delhi - DPCC",58.75,59.433884
2023-10-02 08:00:00,"Ashok Vihar, Delhi - DPCC",63.5,60.640373
2023-10-02 09:00:00,"Ashok Vihar, Delhi - DPCC",67.5,61.391987
2023-10-02 10:00:00,"Ashok Vihar, Delhi - DPCC",80.25,59.030273
2023-10-02 11:00:00,"Ashok Vihar, Delhi - DPCC",65.75,54.303993
2023-10-02 12:00:00,"Ashok Vihar, Delhi - DPCC",52.25,52.3841
2023-10-02 13:00:00,"Ashok Vihar, Delhi - DPCC",40.5,50.323814
2023-10-02 14:00:00,"Ashok Vihar, Delhi - DPCC",37.5,48.509766
2023-10-02 15:00:00,"Ashok Vihar, Delhi - DPCC",30.75,47.531578
2023-10-02 16:00:00,"Ashok Vihar, Delhi - DPCC",25.0,47.64264
2023-10-02 17:00:00,"Ashok Vihar, Delhi - DPCC",29.25,49.795288
2023-10-02 18:00:00,"Ashok Vihar, Delhi - DPCC",34.5,51.9532
2023-10-02 19:00:00,"Ashok Vihar, Delhi - DPCC",47.5,55.514206
2023-10-02 20:00:00,"Ashok Vihar, Delhi - DPCC",71.5,59.828056
2023-10-02 21:00:00,"Ashok Vihar, Delhi - DPCC",65.75,61.54339
2023-10-02 22:00:00,"Ashok Vihar, Delhi - DPCC",63.25,59.21174
2023-10-02 23:00:00,"Ashok Vihar, Delhi - DPCC",65.0,57.340385
2023-10-03 00:00:00,"Ashok Vihar, Delhi - DPCC",58.0,62.613457
2023-10-03 01:00:00,"Ashok Vihar, Delhi - DPCC",55.5,60.578846
2023-10-03 02:00:00,"Ashok Vihar, Delhi - DPCC",58.75,58.230305
2023-10-03 03:00:00,"Ashok Vihar, Delhi - DPCC",60.75,58.414413
2023-10-03 04:00:00,"Ashok Vihar, Delhi - DPCC",55.0,61.6949
2023-10-03 05:00:00,"Ashok Vihar, Delhi - DPCC",69.5,63.197994
2023-10-03 06:00:00,"Ashok Vihar, Delhi - DPCC",75.0,60.91467
2023-10-03 07:00:00,"Ashok Vihar, Delhi - DPCC",73.0,62.00251
2023-10-03 08:00:00,"Ashok Vihar, Delhi - DPCC",81.25,64.12276
2023-10-03 09:00:00,"Ashok Vihar, Delhi - DPCC",65.5,62.080467
2023-10-03 10:00:00,"Ashok Vihar, Delhi - DPCC",50.25,55.28256
2023-10-03 11:00:00,"Ashok Vihar, Delhi - DPCC",45.0,47.13655
2023-10-03 12:00:00,"Ashok Vihar, Delhi - DPCC",43.5,41.928425
2023-10-03 13:00:00,"Ashok Vihar, Delhi - DPCC",36.25,38.715755
2023-10-03 14:00:00,"Ashok Vihar, Delhi - DPCC",29.25,36.53923
2023-10-03 15:00:00,"Ashok Vihar, Delhi - DPCC",31.75,34.66093
2023-10-03 16:00:00,"Ashok Vihar, Delhi - DPCC",28.5,34.00266
2023-10-03 17:00:00,"Ashok Vihar, Delhi - DPCC",31.0,35.686275
2023-10-03 18:00:00,"Ashok Vihar, Delhi - DPCC",36.75,38.850067
2023-10-03 19:00:00,"Ashok Vihar, Delhi - DPCC",47.75,44.16149
2023-10-03 20:00:00,"Ashok Vihar, Delhi - DPCC",57.75,50.26224
2023-10-03 21:00:00,"Ashok Vihar, Delhi - DPCC",61.5,51.988304
2023-10-03 22:00:00,"Ashok Vihar, Delhi - DPCC",54.75,48.957565
2023-10-03 23:00:00,"Ashok Vihar, Delhi - DPCC",47.75,46.039124
2023-10-04 00:00:00,"Ashok Vihar, Delhi - DPCC",55.5,45.171204
2023-10-04 01:00:00,"Ashok Vihar, Delhi - DPCC",74.75,45.27382
2023-10-04 02:00:00,"Ashok Vihar, Delhi - DPCC",55.0,45.15194
2023-10-04 03:00:00,"Ashok Vihar, Delhi - DPCC",53.75,46.408855
2023-10-04 04:00:00,"Ashok Vihar, Delhi - DPCC",62.5,50.217976
2023-10-04 05:00:00,"Ashok Vihar, Delhi - DPCC",76.25,52.2294
2023-10-04 06:00:00,"Ashok Vihar, Delhi - DPCC",81.75,51.411587
