station,latitude,longitude
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
"Bawana, Delhi - DPCC",28.7762,77.051074
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484
"Dwarka-Sector 8, Delhi - DPCC",28.5710274,77.0719006
"Jahangirpuri, Delhi - DPCC",28.73282,77.170633
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738
"Mandir Marg, Delhi - DPCC",28.636429,77.201067
"Mundka, Delhi - DPCC",28.684678,77.076574
"Najafgarh, Delhi - DPCC",28.570173,76.933762
"Narela, Delhi - DPCC",28.822836,77.101981
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
"Patparganj, Delhi - DPCC",28.623763,77.287209
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023
"Pusa, Delhi - DPCC",28.639652,77.146275
"R K Puram, Delhi - DPCC",28.563262,77.186937
"Rohini, Delhi - DPCC",28.732528,77.11992
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526
"Wazirpur, Delhi - DPCC",28.699793,77.165453
